statefips,year,month,number_schools,share_all_closed_50,share_all_closed_25,share_all_closed_75,share_elem_closed_50,share_elem_closed_25,share_elem_closed_75,share_middlehigh_closed_50,share_middlehigh_closed_25,share_middlehigh_closed_75,mean_all_change,mean_elem_change,mean_middlehigh_change,total_students,state_abbrev,state_name
23,2020,3,559,0.068468466,0.27927929,0.005405406,0.078873239,0.30704224,0.008450705,0.0625,0.2638889,0.003472222,-0.002383075,-0.0157681,-0.007216967,175683,ME,MAINE
24,2020,3,1367,0.081497796,0.43465492,0.009544787,0.082039915,0.43237251,0.009977827,0.086003371,0.45531198,0.015177066,-0.18507954,-0.18262616,-0.20590961,878056,MD,MARYLAND
25,2020,3,1738,0.066397227,0.38221708,0.006928407,0.063071296,0.38756856,0.005484461,0.075835474,0.39460155,0.008997429,-0.12304015,-0.11734787,-0.14630094,926236,MA,MASSACHUSETTS
26,2020,3,3259,0.057716049,0.30586419,0.007098766,0.050209206,0.28661087,0.007322176,0.078496404,0.33720288,0.008291874,-0.081672706,-0.076426469,-0.088670723,1495278,MI,MICHIGAN
27,2020,3,1977,0.062149771,0.32042792,0.009679062,0.053030305,0.30208334,0.004734849,0.072097376,0.3445693,0.014981274,-0.078079388,-0.073471397,-0.078421921,870756,MN,MINNESOTA
28,2020,3,958,0.072251312,0.35287958,0.005235602,0.058380414,0.36158192,0.001883239,0.076635517,0.35140187,0.007476636,-0.10927047,-0.097943857,-0.12584296,502392,MS,MISSISSIPPI
29,2020,3,2217,0.050747622,0.23062982,0.004531038,0.04688701,0.21291314,0.003843198,0.052258637,0.25066429,0.004428698,-0.029892866,-0.02246099,-0.026107097,900029,MO,MISSOURI
30,2020,3,677,0.1411043,0.41564417,0.01993865,0.12618296,0.36593059,0.028391168,0.152,0.45333335,0.010666667,-0.089593954,-0.072129831,-0.10057231,138851,MT,MONTANA
31,2020,3,588,0.040955633,0.29010239,0.001706485,0.029255319,0.25531915,0.002659574,0.073469386,0.37142858,0,-0.068288349,-0.060571734,-0.092735641,243892,NE,NEBRASKA
32,2020,3,610,0.092257001,0.42998353,0.009884679,0.068062827,0.40314135,0.005235602,0.13793103,0.46743295,0.01532567,-0.17248034,-0.14843102,-0.19570966,448349,NV,NEVADA
33,2020,3,481,0.037500001,0.21250001,0.00625,0.048387095,0.23870967,0.009677419,0.020746889,0.17427386,0,-0.026901709,-0.019397317,-0.035436694,186989,NH,NEW HAMPSHIRE
34,2020,3,2309,0.053959966,0.3916449,0.006092254,0.050550874,0.38950098,0.006480882,0.063943163,0.42095914,0.003552398,-0.16656144,-0.16883186,-0.18314223,1278236,NJ,NEW JERSEY
35,2020,3,730,0.11432507,0.39669421,0.024793388,0.096926711,0.36879432,0.016548464,0.14201184,0.44970414,0.032544378,-0.12878993,-0.11133093,-0.16041537,307579,NM,NEW MEXICO
36,2020,3,4457,0.071139127,0.43358847,0.00765421,0.065492146,0.43163538,0.005744925,0.079780497,0.43562683,0.0088645,-0.18195443,-0.17609431,-0.18705527,2574921,NY,NEW YORK
37,2020,3,2549,0.068423122,0.35273299,0.008257963,0.071102411,0.34768429,0.00913242,0.074285716,0.36163265,0.008163265,-0.11936671,-0.10863224,-0.14103264,1546765,NC,NORTH CAROLINA
38,2020,3,464,0.10652174,0.41304347,0.015217391,0.095588237,0.37867647,0.014705882,0.15175097,0.47081712,0.023346303,-0.13244276,-0.1130565,-0.15927315,108444,ND,NORTH DAKOTA
39,2020,3,3344,0.056603774,0.27942497,0.008086253,0.052050475,0.25867507,0.009463723,0.065495208,0.31363153,0.006389776,-0.067802407,-0.050938163,-0.091846257,1683361,OH,OHIO
